sampleID	Treat	Acc	sampleRemovalInfo
sample_1_AseI	Control	01	pass
sample_2_AseI	Control	02	pass
sample_3_AseI	Control	03	pass
sample_4_AseI	Control	04	pass
sample_5_AseI	Control	05	pass
sample_7_AseI	Control	07	pass
sample_8_AseI	Control	08	pass
sample_9_AseI	Control	09	pass
sample_10_AseI	Control	10	pass
sample_11_AseI	Control	11	pass
sample_12_AseI	Control	12	pass
sample_13_AseI	Control	13	pass
sample_15_AseI	Control	15	pass
sample_16_AseI	Control	16	pass
sample_17_AseI	Control	17	pass
sample_19_AseI	Control	19	pass
sample_20_AseI	Control	20	pass
sample_21_AseI	Shade	01	pass
sample_22_AseI	Shade	02	pass
sample_23_AseI	Shade	03	pass
sample_24_AseI	Shade	04	pass
sample_25_AseI	Shade	05	pass
sample_27_AseI	Shade	07	pass
sample_28_AseI	Shade	08	pass
sample_29_AseI	Shade	09	pass
sample_30_AseI	Shade	10	pass
sample_31_AseI	Shade	11	pass
sample_32_AseI	Shade	12	pass
sample_33_AseI	Shade	13	pass
sample_35_AseI	Shade	15	pass
sample_36_AseI	Shade	16	pass
sample_37_AseI	Shade	17	pass
sample_39_AseI	Shade	19	pass
sample_40_AseI	Shade	20	pass
