sampleID	Treat	Acc
sample_1_Csp6I	Shade	01
sample_2_Csp6I	Shade	02
sample_3_Csp6I	Shade	03
sample_4_Csp6I	Shade	04
sample_5_Csp6I	Shade	05
sample_7_Csp6I	Shade	07
sample_8_Csp6I	Shade	08
sample_9_Csp6I	Shade	09
sample_10_Csp6I	Shade	10
sample_11_Csp6I	Shade	11
sample_12_Csp6I	Shade	12
sample_13_Csp6I	Shade	13
sample_15_Csp6I	Shade	15
sample_16_Csp6I	Shade	16
sample_17_Csp6I	Shade	17
sample_19_Csp6I	Shade	19
sample_20_Csp6I	Shade	20
sample_21_Csp6I	Control	01
sample_22_Csp6I	Control	02
sample_23_Csp6I	Control	03
sample_24_Csp6I	Control	04
sample_25_Csp6I	Control	05
sample_27_Csp6I	Control	07
sample_28_Csp6I	Control	08
sample_29_Csp6I	Control	09
sample_30_Csp6I	Control	10
sample_31_Csp6I	Control	11
sample_32_Csp6I	Control	12
sample_33_Csp6I	Control	13
sample_35_Csp6I	Control	15
sample_36_Csp6I	Control	16
sample_37_Csp6I	Control	17
sample_39_Csp6I	Control	19
sample_40_Csp6I	Control	20
